unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.62207E+12,5/27/2021 0:00,ADA/USDT,1.7788,1.779,1.7607,1.765,2552617.53,4515398.932,4805
1.62207E+12,5/26/2021 23:00,ADA/USDT,1.7258,1.7821,1.7101,1.7791,24810752.61,43335429.69,72921
1.62207E+12,5/26/2021 22:00,ADA/USDT,1.7376,1.7394,1.708,1.7261,20119824.86,34685974.51,47791
1.62206E+12,5/26/2021 21:00,ADA/USDT,1.7445,1.758,1.7254,1.7375,18128063.92,31576342,41011
1.62206E+12,5/26/2021 20:00,ADA/USDT,1.7181,1.7483,1.7069,1.7445,18650725.11,32331918.71,65978
1.62206E+12,5/26/2021 19:00,ADA/USDT,1.7327,1.7338,1.6877,1.7181,22047648.25,37599009.68,55485
1.62205E+12,5/26/2021 18:00,ADA/USDT,1.7449,1.7458,1.7112,1.7327,19067667.61,33005871.3,47141
1.62205E+12,5/26/2021 17:00,ADA/USDT,1.7245,1.75,1.679,1.7447,40505997.92,69405354.39,76122
1.62204E+12,5/26/2021 16:00,ADA/USDT,1.7137,1.7594,1.7036,1.7246,35414565.26,61470502.46,75885
1.62204E+12,5/26/2021 15:00,ADA/USDT,1.723,1.7232,1.6738,1.7137,42687139.65,72553970.29,82855
1.62204E+12,5/26/2021 14:00,ADA/USDT,1.6851,1.7437,1.6757,1.7232,47924865.12,82329775.82,95429
1.62203E+12,5/26/2021 13:00,ADA/USDT,1.8116,1.8123,1.6725,1.6851,62050331.29,107886602.5,146508
1.62203E+12,5/26/2021 12:00,ADA/USDT,1.7736,1.832,1.7666,1.8113,49082716.25,88558415.93,115037
1.62203E+12,5/26/2021 11:00,ADA/USDT,1.7526,1.78,1.7266,1.7734,21165789.84,36996047.86,54321
1.62202E+12,5/26/2021 10:00,ADA/USDT,1.759,1.7782,1.7211,1.7529,32132795.56,55944153.82,78707
