unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.62207E+12,5/27/2021 0:00,ADA/USDT,1.7788,1.779,1.7607,1.771,3240369.88,5732675.15,6206
1.62199E+12,5/26/2021 0:00,ADA/USDT,1.5525,1.832,1.552,1.7791,857080518.1,1472382793,2010480
1.6219E+12,5/25/2021 0:00,ADA/USDT,1.5497,1.6499,1.4354,1.5532,807717267.5,1239076344,1776216
1.62181E+12,5/24/2021 0:00,ADA/USDT,1.3135,1.5974,1.2476,1.55,1034255631,1503761177,2078079
1.62173E+12,5/23/2021 0:00,ADA/USDT,1.4636,1.5397,1.051,1.3139,1461270087,1839005521,2445334
1.62164E+12,5/22/2021 0:00,ADA/USDT,1.5493,1.602,1.3661,1.4629,800713185.5,1195051727,1593249
1.62156E+12,5/21/2021 0:00,ADA/USDT,1.8002,1.87,1.32,1.5493,1158826531,1851576034,2368984
1.62147E+12,5/20/2021 0:00,ADA/USDT,1.4676,1.9487,1.3218,1.8006,1331716279,2253383024,2679300
1.62138E+12,5/19/2021 0:00,ADA/USDT,2.0036,2.0317,1.01,1.4663,2261842102,3616451443,3500994
1.6213E+12,5/18/2021 0:00,ADA/USDT,2.0301,2.1492,1.9712,2.0036,612259916.9,1258577628,1431670
1.62121E+12,5/17/2021 0:00,ADA/USDT,2.3002,2.329,1.9159,2.0307,1137971306,2387549270,2394748
1.62112E+12,5/16/2021 0:00,ADA/USDT,2.1754,2.47,2.0104,2.3002,1190745904,2680581606,2799042
1.62104E+12,5/15/2021 0:00,ADA/USDT,2.0073,2.3789,1.9628,2.1744,1376815761,3028162678,3130966
1.62095E+12,5/14/2021 0:00,ADA/USDT,1.9289,2.043,1.8112,2.0069,695033071,1330783388,1650812
1.62086E+12,5/13/2021 0:00,ADA/USDT,1.5669,1.9719,1.5,1.9296,1567655289,2830787027,2971018
1.62078E+12,5/12/2021 0:00,ADA/USDT,1.7633,1.821,1.5462,1.5694,599710080.8,1034165276,1305448
1.62069E+12,5/11/2021 0:00,ADA/USDT,1.6418,1.7791,1.5954,1.7632,524326718.1,888681876.9,1065832
1.6206E+12,5/10/2021 0:00,ADA/USDT,1.7662,1.8243,1.517,1.6423,712304913.9,1220328155,1624887
1.62052E+12,5/9/2021 0:00,ADA/USDT,1.6206,1.833,1.5726,1.7663,883091328.5,1536088015,1884477
1.62043E+12,5/8/2021 0:00,ADA/USDT,1.6529,1.6543,1.5611,1.6211,393498898,633842537.1,872816
1.62035E+12,5/7/2021 0:00,ADA/USDT,1.6491,1.7478,1.526,1.653,789059201,1301803084,1468918
1.62026E+12,5/6/2021 0:00,ADA/USDT,1.4799,1.7,1.4288,1.6491,1342973404,2120775489,2264654
1.62017E+12,5/5/2021 0:00,ADA/USDT,1.2699,1.497,1.2598,1.4798,579064616.2,809182895.3,1020356
1.62009E+12,5/4/2021 0:00,ADA/USDT,1.3627,1.3673,1.2557,1.2698,421500877.6,549879320.5,693784
1.62E+12,5/3/2021 0:00,ADA/USDT,1.3267,1.38,1.3208,1.3622,271187623.3,367143914.8,465569
1.61991E+12,5/2/2021 0:00,ADA/USDT,1.3516,1.3556,1.2941,1.3267,218990273.6,290399347.5,369059
1.61983E+12,5/1/2021 0:00,ADA/USDT,1.353,1.3678,1.3128,1.3516,208656399.4,279891124.6,379435
1.61974E+12,4/30/2021 0:00,ADA/USDT,1.3066,1.3709,1.2855,1.3532,308696257.8,413990419.8,605811
1.61965E+12,4/29/2021 0:00,ADA/USDT,1.3373,1.4117,1.2661,1.3063,578529650.8,777246168.1,1273495
1.61957E+12,4/28/2021 0:00,ADA/USDT,1.3063,1.3488,1.2326,1.3379,388598645.1,505426307.5,690474
1.61948E+12,4/27/2021 0:00,ADA/USDT,1.2377,1.3333,1.2232,1.3063,392979049.1,504918084.2,760259
1.6194E+12,4/26/2021 0:00,ADA/USDT,1.091,1.2509,1.0793,1.2375,473369883.1,568714661,773997
1.61931E+12,4/25/2021 0:00,ADA/USDT,1.103,1.14678,1.0183,1.0913,305075283.6,333834052.9,490000
1.61922E+12,4/24/2021 0:00,ADA/USDT,1.15872,1.198,1.0927,1.10287,434215610.4,494679064.8,737205
1.61914E+12,4/23/2021 0:00,ADA/USDT,1.14443,1.16895,0.92,1.15866,989280841.9,1054521883,1402192
1.61905E+12,4/22/2021 0:00,ADA/USDT,1.20312,1.27984,1.1138,1.144,522618869.4,628558727.8,840300
1.61896E+12,4/21/2021 0:00,ADA/USDT,1.26665,1.29,1.19704,1.20358,404434984,504722890,716832
1.61888E+12,4/20/2021 0:00,ADA/USDT,1.19451,1.28241,1.12685,1.26689,470266399.2,564969805.9,795662
1.61879E+12,4/19/2021 0:00,ADA/USDT,1.27655,1.32443,1.17122,1.1945,477279604.9,594173873.6,862505
1.6187E+12,4/18/2021 0:00,ADA/USDT,1.36861,1.38654,1.07204,1.27693,804838502.1,984038054.8,1427081
1.61862E+12,4/17/2021 0:00,ADA/USDT,1.40989,1.45805,1.35501,1.36802,323840975.1,456752579.9,658242
1.61853E+12,4/16/2021 0:00,ADA/USDT,1.47845,1.51915,1.334,1.40989,562141264.2,797336703,1069902
1.61844E+12,4/15/2021 0:00,ADA/USDT,1.4514,1.49539,1.41023,1.4782,413204000.6,603652219,913680
1.61836E+12,4/14/2021 0:00,ADA/USDT,1.41246,1.55845,1.348,1.45092,1053166778,1535013339,1840346
1.61827E+12,4/13/2021 0:00,ADA/USDT,1.31452,1.4378,1.28138,1.41246,605026285,827121787.9,1026705
1.61819E+12,4/12/2021 0:00,ADA/USDT,1.26376,1.348,1.2633,1.31431,559487897.9,730491709.4,952211
1.6181E+12,4/11/2021 0:00,ADA/USDT,1.21753,1.28989,1.199,1.26355,451246041.8,563044444.4,714512
1.61801E+12,4/10/2021 0:00,ADA/USDT,1.20201,1.25199,1.19157,1.21747,290774078,355203232.3,475261
1.61793E+12,4/9/2021 0:00,ADA/USDT,1.21896,1.22907,1.19134,1.20201,156767192.2,189628515.6,297343
1.61784E+12,4/8/2021 0:00,ADA/USDT,1.17356,1.22502,1.16999,1.21926,215242842.9,258822131,390054
1.61775E+12,4/7/2021 0:00,ADA/USDT,1.25217,1.29,1.1588,1.17359,405313990,493054710.5,771894
1.61767E+12,4/6/2021 0:00,ADA/USDT,1.21172,1.34359,1.1901,1.252,726926008.5,913715699,1195328
1.61758E+12,4/5/2021 0:00,ADA/USDT,1.18205,1.22647,1.16222,1.2118,318801564.5,379800451.6,555351
1.61749E+12,4/4/2021 0:00,ADA/USDT,1.16245,1.193,1.152,1.18206,204575492.2,240843734.9,384032
1.61741E+12,4/3/2021 0:00,ADA/USDT,1.18998,1.24078,1.15977,1.16238,313837978.9,379294245,558820
1.61732E+12,4/2/2021 0:00,ADA/USDT,1.1833,1.24796,1.18026,1.18998,314062254.4,379078109.5,492559
1.61724E+12,4/1/2021 0:00,ADA/USDT,1.19172,1.20772,1.17171,1.18377,212963382.6,253654449.3,366545
1.61715E+12,3/31/2021 0:00,ADA/USDT,1.212,1.21273,1.151,1.19191,302818874.6,360032787.9,493282
1.61706E+12,3/30/2021 0:00,ADA/USDT,1.2024,1.23555,1.18909,1.21189,257460678.6,312766027.2,406409
