https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1622073600000,2021-05-27 00:00:00,ADA/USDT,1.77880000,1.77900000,1.76070000,1.76500000,2552617.53000000,4515398.93230400,4805
1622070000000,2021-05-26 23:00:00,ADA/USDT,1.72580000,1.78210000,1.71010000,1.77910000,24810752.61000000,43335429.69282000,72921
1622066400000,2021-05-26 22:00:00,ADA/USDT,1.73760000,1.73940000,1.70800000,1.72610000,20119824.86000000,34685974.50935400,47791
1622062800000,2021-05-26 21:00:00,ADA/USDT,1.74450000,1.75800000,1.72540000,1.73750000,18128063.92000000,31576341.99834500,41011
1622059200000,2021-05-26 20:00:00,ADA/USDT,1.71810000,1.74830000,1.70690000,1.74450000,18650725.11000000,32331918.70651200,65978
1622055600000,2021-05-26 19:00:00,ADA/USDT,1.73270000,1.73380000,1.68770000,1.71810000,22047648.25000000,37599009.68489900,55485
1622052000000,2021-05-26 18:00:00,ADA/USDT,1.74490000,1.74580000,1.71120000,1.73270000,19067667.61000000,33005871.29929500,47141
1622048400000,2021-05-26 17:00:00,ADA/USDT,1.72450000,1.75000000,1.67900000,1.74470000,40505997.92000000,69405354.38795000,76122
1622044800000,2021-05-26 16:00:00,ADA/USDT,1.71370000,1.75940000,1.70360000,1.72460000,35414565.26000000,61470502.45994500,75885
1622041200000,2021-05-26 15:00:00,ADA/USDT,1.72300000,1.72320000,1.67380000,1.71370000,42687139.65000000,72553970.28608200,82855
1622037600000,2021-05-26 14:00:00,ADA/USDT,1.68510000,1.74370000,1.67570000,1.72320000,47924865.12000000,82329775.82112200,95429
1622034000000,2021-05-26 13:00:00,ADA/USDT,1.81160000,1.81230000,1.67250000,1.68510000,62050331.29000000,107886602.49179400,146508
1622030400000,2021-05-26 12:00:00,ADA/USDT,1.77360000,1.83200000,1.76660000,1.81130000,49082716.25000000,88558415.92648500,115037
1622026800000,2021-05-26 11:00:00,ADA/USDT,1.75260000,1.78000000,1.72660000,1.77340000,21165789.84000000,36996047.85583800,54321
1622023200000,2021-05-26 10:00:00,ADA/USDT,1.75900000,1.77820000,1.72110000,1.75290000,32132795.56000000,55944153.81517800,78707
1622019600000,2021-05-26 09:00:00,ADA/USDT,1.74900000,1.79350000,1.74530000,1.75920000,28613762.89000000,50589163.98124600,80944
1622016000000,2021-05-26 08:00:00,ADA/USDT,1.78170000,1.80130000,1.71560000,1.74900000,60945151.85000000,106877529.20300400,143217
1622012400000,2021-05-26 07:00:00,ADA/USDT,1.76710000,1.80960000,1.75250000,1.78160000,45350324.53000000,81025677.38377900,110793
1622008800000,2021-05-26 06:00:00,ADA/USDT,1.70600000,1.78200000,1.70550000,1.76700000,48086507.06000000,84535520.48276900,120531
1622005200000,2021-05-26 05:00:00,ADA/USDT,1.69550000,1.73990000,1.68680000,1.70620000,32917671.11000000,56647159.75626700,86613
1622001600000,2021-05-26 04:00:00,ADA/USDT,1.67730000,1.72000000,1.65630000,1.69520000,41516720.99000000,70145371.17779900,99872
1621998000000,2021-05-26 03:00:00,ADA/USDT,1.63070000,1.68100000,1.62530000,1.67730000,30985108.64000000,51202457.18686800,73976
1621994400000,2021-05-26 02:00:00,ADA/USDT,1.62690000,1.64720000,1.61140000,1.63100000,32524546.01000000,53008316.28091000,72069
1621990800000,2021-05-26 01:00:00,ADA/USDT,1.57110000,1.63000000,1.57000000,1.62710000,30456142.03000000,48784796.16942700,67446
1621987200000,2021-05-26 00:00:00,ADA/USDT,1.55250000,1.60930000,1.55200000,1.57110000,51895699.77000000,81887431.95679000,99828
1621983600000,2021-05-25 23:00:00,ADA/USDT,1.55690000,1.56000000,1.53920000,1.55320000,16755912.66000000,25978167.54355600,32863
1621980000000,2021-05-25 22:00:00,ADA/USDT,1.52180000,1.55980000,1.52180000,1.55650000,26605154.42000000,40938924.48117600,53581
1621976400000,2021-05-25 21:00:00,ADA/USDT,1.51710000,1.53350000,1.50070000,1.52180000,16167815.78000000,24567885.05189200,28438
1621972800000,2021-05-25 20:00:00,ADA/USDT,1.50070000,1.52390000,1.49510000,1.51710000,20269396.27000000,30669356.37002000,39132
1621969200000,2021-05-25 19:00:00,ADA/USDT,1.53360000,1.54110000,1.48750000,1.50030000,22677918.77000000,34389107.95569500,53679
1621965600000,2021-05-25 18:00:00,ADA/USDT,1.55010000,1.55890000,1.53320000,1.53360000,15800690.87000000,24453397.82335000,36494
1621962000000,2021-05-25 17:00:00,ADA/USDT,1.53970000,1.56480000,1.52540000,1.55000000,29395070.26000000,45470003.40352400,52847
1621958400000,2021-05-25 16:00:00,ADA/USDT,1.56040000,1.56560000,1.53530000,1.53970000,23995944.31000000,37205234.30077200,51644
1621954800000,2021-05-25 15:00:00,ADA/USDT,1.52460000,1.56800000,1.50450000,1.56040000,37547550.97000000,57953541.30252300,82682
1621951200000,2021-05-25 14:00:00,ADA/USDT,1.50960000,1.55360000,1.50720000,1.52480000,35701270.78000000,54851069.22718700,69539
1621947600000,2021-05-25 13:00:00,ADA/USDT,1.48250000,1.53340000,1.46800000,1.50960000,40532208.33000000,61001552.49429800,84800
1621944000000,2021-05-25 12:00:00,ADA/USDT,1.44650000,1.48900000,1.43960000,1.48290000,40885915.14000000,59831579.13199700,82646
1621940400000,2021-05-25 11:00:00,ADA/USDT,1.47790000,1.50500000,1.43540000,1.44670000,48725706.67000000,71677510.56965700,91912
1621936800000,2021-05-25 10:00:00,ADA/USDT,1.54540000,1.54560000,1.44350000,1.47800000,67916234.55000000,101025251.03226700,125424
1621933200000,2021-05-25 09:00:00,ADA/USDT,1.56190000,1.57420000,1.53270000,1.54540000,30416056.32000000,47177357.97739400,60972
1621929600000,2021-05-25 08:00:00,ADA/USDT,1.60210000,1.62220000,1.55090000,1.56140000,39590524.45000000,62572354.85810100,89618
1621926000000,2021-05-25 07:00:00,ADA/USDT,1.57830000,1.60290000,1.56240000,1.60170000,31687916.80000000,50176174.84105700,87920
1621922400000,2021-05-25 06:00:00,ADA/USDT,1.52990000,1.58600000,1.51170000,1.57830000,33642175.81000000,52249475.15562900,89288
1621918800000,2021-05-25 05:00:00,ADA/USDT,1.52110000,1.53890000,1.49350000,1.53020000,26077922.72000000,39594679.02494900,76873
1621915200000,2021-05-25 04:00:00,ADA/USDT,1.53970000,1.54860000,1.47190000,1.52100000,41371544.90000000,62598281.70032900,100271
1621911600000,2021-05-25 03:00:00,ADA/USDT,1.52730000,1.54590000,1.50570000,1.53970000,36451422.24000000,55632777.29476300,89857
1621908000000,2021-05-25 02:00:00,ADA/USDT,1.57600000,1.58700000,1.51920000,1.52670000,35408855.14000000,54984987.20579400,89812
1621904400000,2021-05-25 01:00:00,ADA/USDT,1.61330000,1.63280000,1.55630000,1.57610000,33972834.00000000,54014171.71717100,77202
1621900800000,2021-05-25 00:00:00,ADA/USDT,1.54970000,1.64990000,1.53090000,1.61280000,56121225.36000000,90063503.82160900,128722
1621897200000,2021-05-24 23:00:00,ADA/USDT,1.52730000,1.55650000,1.50760000,1.55000000,23453750.55000000,35943630.39283600,50008
1621893600000,2021-05-24 22:00:00,ADA/USDT,1.52810000,1.55490000,1.49660000,1.52770000,28098764.56000000,42919936.38693900,58263
1621890000000,2021-05-24 21:00:00,ADA/USDT,1.54910000,1.56700000,1.51310000,1.52900000,29356830.58000000,45323923.46078300,59015
1621886400000,2021-05-24 20:00:00,ADA/USDT,1.57630000,1.59740000,1.53470000,1.54910000,55254267.67000000,86502000.37540700,104087
1621882800000,2021-05-24 19:00:00,ADA/USDT,1.51730000,1.58360000,1.48300000,1.57620000,52930191.21000000,81149467.76944300,133523
1621879200000,2021-05-24 18:00:00,ADA/USDT,1.50590000,1.53500000,1.48550000,1.51730000,38189271.52000000,57681190.84754800,80353
1621875600000,2021-05-24 17:00:00,ADA/USDT,1.47490000,1.50820000,1.45680000,1.50590000,28620648.89000000,42500419.13876700,64554
1621872000000,2021-05-24 16:00:00,ADA/USDT,1.50400000,1.51980000,1.43620000,1.47500000,47740398.66000000,70230588.49158100,92174
1621868400000,2021-05-24 15:00:00,ADA/USDT,1.48940000,1.52230000,1.46930000,1.50440000,39012667.28000000,58462991.84914700,76150
1621864800000,2021-05-24 14:00:00,ADA/USDT,1.46580000,1.50750000,1.46000000,1.48960000,36679432.70000000,54434016.57288700,81059
1621861200000,2021-05-24 13:00:00,ADA/USDT,1.51210000,1.52390000,1.44740000,1.46630000,59523994.45000000,88057292.10699800,121369
1621857600000,2021-05-24 12:00:00,ADA/USDT,1.48440000,1.54940000,1.46510000,1.51220000,59413825.07000000,89764709.70867900,144084
1621854000000,2021-05-24 11:00:00,ADA/USDT,1.45160000,1.50420000,1.44690000,1.48420000,54213913.45000000,80063400.22761500,102109
1621850400000,2021-05-24 10:00:00,ADA/USDT,1.43200000,1.47000000,1.40610000,1.45170000,42314421.90000000,60872720.37676900,83348
1621846800000,2021-05-24 09:00:00,ADA/USDT,1.46840000,1.46880000,1.42230000,1.43200000,35932922.07000000,52059147.48386300,87161
1621843200000,2021-05-24 08:00:00,ADA/USDT,1.48270000,1.48990000,1.43030000,1.46830000,56863297.59000000,83076378.35229900,102108
1621839600000,2021-05-24 07:00:00,ADA/USDT,1.39620000,1.49200000,1.39560000,1.48280000,78674793.00000000,114288137.99271800,142312
1621836000000,2021-05-24 06:00:00,ADA/USDT,1.37180000,1.39780000,1.34550000,1.39660000,33698731.16000000,46255289.17052500,59580
1621832400000,2021-05-24 05:00:00,ADA/USDT,1.34570000,1.37990000,1.34570000,1.37220000,27846002.01000000,37972707.09320600,56143
1621828800000,2021-05-24 04:00:00,ADA/USDT,1.36910000,1.38890000,1.30700000,1.34570000,40849102.33000000,55031270.92915900,68555
1621825200000,2021-05-24 03:00:00,ADA/USDT,1.36260000,1.40000000,1.35230000,1.36930000,42755245.43000000,58803317.56257800,78627
1621821600000,2021-05-24 02:00:00,ADA/USDT,1.30320000,1.36680000,1.29670000,1.36330000,37002477.25000000,49380596.37760900,76885
1621818000000,2021-05-24 01:00:00,ADA/USDT,1.31360000,1.32460000,1.24760000,1.30300000,39637487.55000000,51422390.81056200,75977
1621814400000,2021-05-24 00:00:00,ADA/USDT,1.31350000,1.36800000,1.29780000,1.31450000,46193194.23000000,61565653.93292100,80635
1621810800000,2021-05-23 23:00:00,ADA/USDT,1.29720000,1.34320000,1.29500000,1.31390000,38319011.55000000,50705974.40929100,70240
1621807200000,2021-05-23 22:00:00,ADA/USDT,1.33920000,1.37470000,1.28000000,1.29730000,67468232.35000000,89981606.50493500,111393
1621803600000,2021-05-23 21:00:00,ADA/USDT,1.26630000,1.38780000,1.25850000,1.33860000,112343849.78000000,148578258.73378700,148563
1621800000000,2021-05-23 20:00:00,ADA/USDT,1.16940000,1.28600000,1.16840000,1.26610000,71664206.03000000,88976082.73638400,114337
1621796400000,2021-05-23 19:00:00,ADA/USDT,1.12940000,1.17500000,1.11800000,1.16940000,31221498.14000000,35963060.42255100,59841
1621792800000,2021-05-23 18:00:00,ADA/USDT,1.15270000,1.17660000,1.11160000,1.12940000,50841037.15000000,57947131.91724200,86437
1621789200000,2021-05-23 17:00:00,ADA/USDT,1.11320000,1.20000000,1.10840000,1.15270000,81589346.45000000,94918180.76359100,119249
1621785600000,2021-05-23 16:00:00,ADA/USDT,1.16900000,1.18750000,1.05100000,1.11390000,131921282.51000000,146543303.74481100,187548
1621782000000,2021-05-23 15:00:00,ADA/USDT,1.19660000,1.20780000,1.15000000,1.16900000,54059340.09000000,63722821.29748700,89371
1621778400000,2021-05-23 14:00:00,ADA/USDT,1.19360000,1.23500000,1.14240000,1.19730000,81384162.52000000,96609104.08573700,146085
1621774800000,2021-05-23 13:00:00,ADA/USDT,1.16400000,1.19530000,1.10750000,1.19340000,109365596.74000000,125154433.50540100,164866
1621771200000,2021-05-23 12:00:00,ADA/USDT,1.26490000,1.27910000,1.12670000,1.16450000,123500684.34000000,147631519.74624800,187054
1621767600000,2021-05-23 11:00:00,ADA/USDT,1.28110000,1.31360000,1.26350000,1.26490000,39638274.46000000,51055266.03045700,69533
1621764000000,2021-05-23 10:00:00,ADA/USDT,1.25160000,1.32540000,1.24670000,1.28110000,62450105.71000000,80999655.08658200,106931
1621760400000,2021-05-23 09:00:00,ADA/USDT,1.28430000,1.31720000,1.24280000,1.25110000,94120231.95000000,120859398.28914900,153454
1621756800000,2021-05-23 08:00:00,ADA/USDT,1.39390000,1.39420000,1.24600000,1.28440000,105873872.60000000,140276839.42997800,174653
1621753200000,2021-05-23 07:00:00,ADA/USDT,1.42360000,1.43670000,1.35720000,1.39320000,45589483.93000000,63593570.86222700,83498
1621749600000,2021-05-23 06:00:00,ADA/USDT,1.45340000,1.46730000,1.40570000,1.42360000,33935968.70000000,48537775.65400600,63536
1621746000000,2021-05-23 05:00:00,ADA/USDT,1.47500000,1.47510000,1.43260000,1.45360000,23036603.61000000,33426082.57226200,46877
1621742400000,2021-05-23 04:00:00,ADA/USDT,1.48230000,1.48840000,1.46360000,1.47470000,16485402.78000000,24312435.04817900,53535
1621738800000,2021-05-23 03:00:00,ADA/USDT,1.48150000,1.49520000,1.47060000,1.48230000,17936602.64000000,26579002.95195500,52622
1621735200000,2021-05-23 02:00:00,ADA/USDT,1.51180000,1.51800000,1.46890000,1.48090000,18849500.73000000,28056239.36984700,51415
1621731600000,2021-05-23 01:00:00,ADA/USDT,1.53780000,1.53970000,1.51020000,1.51200000,15655465.44000000,23880279.53549100,31673
1621728000000,2021-05-23 00:00:00,ADA/USDT,1.46360000,1.53900000,1.43800000,1.53730000,34020327.11000000,50697498.11887100,72623
1621724400000,2021-05-22 23:00:00,ADA/USDT,1.48230000,1.52750000,1.45700000,1.46290000,19005041.34000000,28293602.31580700,42051
1621720800000,2021-05-22 22:00:00,ADA/USDT,1.49710000,1.50470000,1.46510000,1.48280000,18447209.22000000,27355653.28981700,42373
1621717200000,2021-05-22 21:00:00,ADA/USDT,1.48300000,1.50350000,1.47440000,1.49760000,14959026.82000000,22276106.37835600,38235
1621713600000,2021-05-22 20:00:00,ADA/USDT,1.44000000,1.49810000,1.43940000,1.48300000,22342134.87000000,33023295.93387900,47220
1621710000000,2021-05-22 19:00:00,ADA/USDT,1.46370000,1.47980000,1.43010000,1.44000000,24690266.83000000,36014097.73176900,60447
1621706400000,2021-05-22 18:00:00,ADA/USDT,1.47870000,1.48760000,1.43090000,1.46360000,37326934.51000000,54416617.60913000,66675
1621702800000,2021-05-22 17:00:00,ADA/USDT,1.52230000,1.54230000,1.47240000,1.47870000,28172936.56000000,42343613.66183900,56772
1621699200000,2021-05-22 16:00:00,ADA/USDT,1.53590000,1.55640000,1.50730000,1.52220000,27467018.19000000,42131201.86259700,59540
1621695600000,2021-05-22 15:00:00,ADA/USDT,1.53930000,1.56000000,1.48620000,1.53590000,43666203.51000000,66561990.00108100,87807
1621692000000,2021-05-22 14:00:00,ADA/USDT,1.57130000,1.59280000,1.50430000,1.53940000,41593979.98000000,64245201.98548800,83410
1621688400000,2021-05-22 13:00:00,ADA/USDT,1.51980000,1.60200000,1.51640000,1.57050000,38909939.55000000,61241392.58310700,84796
1621684800000,2021-05-22 12:00:00,ADA/USDT,1.53280000,1.55000000,1.50100000,1.51980000,31460348.85000000,48065060.58688500,64968
1621681200000,2021-05-22 11:00:00,ADA/USDT,1.53620000,1.54840000,1.49890000,1.53280000,25385153.37000000,38715236.37441100,52538
