unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1.62207E+12,5/27/2021 0:00,LINK/USDT,34.03,34.058,33.704,33.895,70112.16,2376232.659,1622
1.62207E+12,5/26/2021 23:00,LINK/USDT,32.689,34.285,32.111,34.018,768428.836,25661157.94,41215
1.62207E+12,5/26/2021 22:00,LINK/USDT,31.751,32.69,31.501,32.668,575286.141,18490275.89,26423
1.62206E+12,5/26/2021 21:00,LINK/USDT,31.451,31.92,30.942,31.742,490807.095,15484106.7,21252
1.62206E+12,5/26/2021 20:00,LINK/USDT,30.432,31.5,30.236,31.452,405187.873,12584945.7,19082
1.62206E+12,5/26/2021 19:00,LINK/USDT,30.634,30.634,29.653,30.439,317163.544,9537559.992,16179
1.62205E+12,5/26/2021 18:00,LINK/USDT,30.626,30.77,30.045,30.631,293219.263,8928333.842,15418
1.62205E+12,5/26/2021 17:00,LINK/USDT,29.952,30.688,29.366,30.616,441065.89,13183345.29,20488
1.62204E+12,5/26/2021 16:00,LINK/USDT,29.966,30.858,29.747,29.952,801452.37,24301103.17,30897
1.62204E+12,5/26/2021 15:00,LINK/USDT,30.705,30.742,29.233,29.991,711827.362,21291560.42,28822
1.62204E+12,5/26/2021 14:00,LINK/USDT,30.11,31.06,29.934,30.705,690923.724,21120626.49,28337
1.62203E+12,5/26/2021 13:00,LINK/USDT,32.366,32.368,29.87,30.145,1272881.795,39323278.65,47681
1.62203E+12,5/26/2021 12:00,LINK/USDT,32.297,33.041,32.055,32.366,821378.022,26732394.26,33990
1.62203E+12,5/26/2021 11:00,LINK/USDT,31.351,32.49,30.775,32.297,517928.506,16326844.67,23268
1.62202E+12,5/26/2021 10:00,LINK/USDT,31.692,32.006,30.728,31.358,602418.439,18821103.05,26696
1.62202E+12,5/26/2021 9:00,LINK/USDT,31.569,32.087,31.2,31.692,495448.373,15691457.99,20982
1.62202E+12,5/26/2021 8:00,LINK/USDT,32.062,32.493,30.86,31.561,839719.09,26492320.48,35161
1.62201E+12,5/26/2021 7:00,LINK/USDT,31.393,32.616,31.145,32.075,859108.971,27438164.56,37250
1.62201E+12,5/26/2021 6:00,LINK/USDT,30.057,31.587,29.985,31.375,597638.922,18586847.17,33125
1.62201E+12,5/26/2021 5:00,LINK/USDT,30.103,30.624,29.974,30.052,364939.931,11065027.04,22271
1.622E+12,5/26/2021 4:00,LINK/USDT,30.43,30.531,29.515,30.104,411027.843,12301652.83,22939
1.622E+12,5/26/2021 3:00,LINK/USDT,29.62,30.465,29.309,30.441,403084.467,12024687.03,22695
1.62199E+12,5/26/2021 2:00,LINK/USDT,29.592,30.302,29.187,29.62,1160838.095,34572798.5,42453
1.62199E+12,5/26/2021 1:00,LINK/USDT,27.602,29.642,27.591,29.594,996979.271,28778042.02,46286
1.62199E+12,5/26/2021 0:00,LINK/USDT,27.505,27.984,26.847,27.591,787337.19,21605748.36,33861
1.62198E+12,5/25/2021 23:00,LINK/USDT,27.173,27.644,26.983,27.503,527645.232,14404655.88,23024
1.62198E+12,5/25/2021 22:00,LINK/USDT,26.106,27.32,26.1,27.178,775880.369,20825170.95,28564
1.62198E+12,5/25/2021 21:00,LINK/USDT,25.392,26.178,25.219,26.106,251166.625,6462082.861,11347
1.62197E+12,5/25/2021 20:00,LINK/USDT,25.12,25.577,25.034,25.391,344182.993,8723766.266,13241
1.62197E+12,5/25/2021 19:00,LINK/USDT,25.996,26.095,24.911,25.117,424969.429,10843129.33,17430
1.62197E+12,5/25/2021 18:00,LINK/USDT,25.943,26.313,25.69,26,291048.423,7574284.002,12533
1.62196E+12,5/25/2021 17:00,LINK/USDT,25.973,26.219,25.385,25.931,312698.132,8074716.279,14091
1.62196E+12,5/25/2021 16:00,LINK/USDT,26.141,26.47,25.666,25.976,600262.874,15653304.63,23369
1.62195E+12,5/25/2021 15:00,LINK/USDT,25.609,26.243,25.192,26.132,714728.332,18397028.3,26850
1.62195E+12,5/25/2021 14:00,LINK/USDT,25.147,26.272,25.113,25.612,549352.289,14168302.32,23815
1.62195E+12,5/25/2021 13:00,LINK/USDT,24.474,25.609,24.4,25.14,672723.615,16908262.94,24032
1.62194E+12,5/25/2021 12:00,LINK/USDT,23.752,24.617,23.7,24.475,719947.849,17409819.05,26580
1.62194E+12,5/25/2021 11:00,LINK/USDT,24.348,24.796,23.673,23.749,642517.334,15649063.3,28128
1.62194E+12,5/25/2021 10:00,LINK/USDT,25.644,25.644,23.787,24.341,1008499.181,24658007.35,37893
1.62193E+12,5/25/2021 9:00,LINK/USDT,25.76,26.167,25.418,25.668,351890.003,9060802.048,15357
1.62193E+12,5/25/2021 8:00,LINK/USDT,26.549,26.69,25.554,25.761,420782.003,10951838.79,19336
1.62193E+12,5/25/2021 7:00,LINK/USDT,26.587,26.773,25.988,26.545,476998.403,12577678.41,18492
1.62192E+12,5/25/2021 6:00,LINK/USDT,25.741,26.777,25.336,26.588,644353.501,16920585.19,27375
1.62192E+12,5/25/2021 5:00,LINK/USDT,25.566,25.768,24.958,25.736,370790.058,9418128.734,18552
1.62192E+12,5/25/2021 4:00,LINK/USDT,25.63,25.889,24.761,25.572,614221.063,15583251.63,27092
1.62191E+12,5/25/2021 3:00,LINK/USDT,25.279,25.788,24.893,25.63,693272.641,17520921.99,26890
1.62191E+12,5/25/2021 2:00,LINK/USDT,26.107,26.3,25.213,25.289,583205.13,14986212.51,27248
1.6219E+12,5/25/2021 1:00,LINK/USDT,26.899,27.388,25.874,26.104,617418.203,16306116.9,28162
1.6219E+12,5/25/2021 0:00,LINK/USDT,26.4,27.434,26.002,26.895,985730.136,26567626.88,40581
1.6219E+12,5/24/2021 23:00,LINK/USDT,25.103,26.431,24.966,26.412,472076.734,12154988.34,24494
1.62189E+12,5/24/2021 22:00,LINK/USDT,25.028,25.771,24.626,25.103,532919.637,13400618.59,21411
1.62189E+12,5/24/2021 21:00,LINK/USDT,25.631,26.044,24.959,25.02,524805.823,13420730.16,20993
1.62189E+12,5/24/2021 20:00,LINK/USDT,25.84,26.055,25.084,25.633,690753.306,17622873.93,25545
1.62188E+12,5/24/2021 19:00,LINK/USDT,24.966,26.032,24.437,25.833,984472.486,24833537.67,37041
1.62188E+12,5/24/2021 18:00,LINK/USDT,24.846,25.48,24.444,24.962,781213.91,19577886.5,29816
1.62188E+12,5/24/2021 17:00,LINK/USDT,24.094,24.946,23.772,24.845,551201.224,13484681.93,23034
1.62187E+12,5/24/2021 16:00,LINK/USDT,24.73,25.218,23.592,24.095,1030996,24942272.97,36863
1.62187E+12,5/24/2021 15:00,LINK/USDT,23.956,24.982,23.804,24.726,779236.938,19025561.33,27939
1.62186E+12,5/24/2021 14:00,LINK/USDT,23.691,24.46,23.622,23.957,776574.434,18648162.53,24381
1.62186E+12,5/24/2021 13:00,LINK/USDT,24.345,24.556,23.347,23.688,1107690.391,26582217.13,34731
1.62186E+12,5/24/2021 12:00,LINK/USDT,24.075,24.999,23.79,24.342,913008.269,22266192.92,35255
1.62185E+12,5/24/2021 11:00,LINK/USDT,23.402,24.357,23.343,24.079,1034163.771,24735067.99,38608
1.62185E+12,5/24/2021 10:00,LINK/USDT,22.754,23.616,22.739,23.401,781898.165,18136521.39,28152
1.62185E+12,5/24/2021 9:00,LINK/USDT,23.341,23.345,22.735,22.754,751001.492,17288254.73,24605
1.62184E+12,5/24/2021 8:00,LINK/USDT,23.419,23.7,22.779,23.342,868962.696,20195239.1,30016
1.62184E+12,5/24/2021 7:00,LINK/USDT,22.24,23.5,22.192,23.424,1088779.842,24923214.81,38670
1.62184E+12,5/24/2021 6:00,LINK/USDT,21.622,22.263,21.166,22.217,494236.685,10718237.26,17963
1.62183E+12,5/24/2021 5:00,LINK/USDT,21.103,21.836,21.055,21.623,513212.213,10999678.37,19185
1.62183E+12,5/24/2021 4:00,LINK/USDT,21.461,21.7,20.63,21.103,614901.854,13036099.95,21748
1.62183E+12,5/24/2021 3:00,LINK/USDT,21.575,22,21.383,21.453,791361.069,17230029.06,25888
1.62182E+12,5/24/2021 2:00,LINK/USDT,20.524,21.827,20.376,21.572,926750.675,19615990.32,33047
1.62182E+12,5/24/2021 1:00,LINK/USDT,20.399,20.862,19.677,20.516,779500.57,15822358.4,27031
1.62181E+12,5/24/2021 0:00,LINK/USDT,19.849,20.986,19.834,20.408,991529.3,20308862.17,31624
1.62181E+12,5/23/2021 23:00,LINK/USDT,19.713,20.421,19.658,19.844,1055502.217,21140126.11,23975
1.62181E+12,5/23/2021 22:00,LINK/USDT,20.026,21.311,19.495,19.732,1843559.692,37635342.74,41081
1.6218E+12,5/23/2021 21:00,LINK/USDT,19.419,20.662,19.333,20.039,1302382.59,25884820.06,31387
