unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1.62207E+12,5/27/2021 0:00,LINK/USDT,34.03,34.2,33.704,34.106,102074.851,3465013.138,2881
1.62199E+12,5/26/2021 0:00,LINK/USDT,27.505,34.285,26.847,34.018,15626091.01,480343382,696771
1.6219E+12,5/25/2021 0:00,LINK/USDT,26.4,27.644,23.673,27.503,13594283.82,349644756.6,559982
1.62181E+12,5/24/2021 0:00,LINK/USDT,19.849,26.431,19.677,26.412,18781247.48,438969277.5,678040
1.62173E+12,5/23/2021 0:00,LINK/USDT,23.293,24.368,15,19.844,28838486.25,544418294.5,832395
1.62164E+12,5/22/2021 0:00,LINK/USDT,25.548,26.2,22.225,23.296,13176375.35,318178020.6,518577
1.62156E+12,5/21/2021 0:00,LINK/USDT,30.633,31.945,22.019,25.546,16394437.61,441531414.6,646448
1.62147E+12,5/20/2021 0:00,LINK/USDT,26.227,33.05,22.35,30.606,20474453.97,581361616.8,865075
1.62138E+12,5/19/2021 0:00,LINK/USDT,42.555,43.5,21,26.227,30087569.96,955151359.6,1279703
1.6213E+12,5/18/2021 0:00,LINK/USDT,37.176,44.69,36.655,42.566,11237931.79,458446915.8,631071
1.62121E+12,5/17/2021 0:00,LINK/USDT,40.662,40.674,35.068,37.177,10672040.79,402004417.1,580067
1.62112E+12,5/16/2021 0:00,LINK/USDT,41.512,44.901,37.944,40.67,9820375.699,405459703.4,510225
1.62104E+12,5/15/2021 0:00,LINK/USDT,46.558,47.8,40.975,41.492,9858340.364,432508792.3,536423
1.62095E+12,5/14/2021 0:00,LINK/USDT,43.273,47.875,42.935,46.567,6310269.001,286892711.1,424973
1.62086E+12,5/13/2021 0:00,LINK/USDT,41.541,44.958,39.227,43.287,10978718.59,465894176.3,645959
1.62078E+12,5/12/2021 0:00,LINK/USDT,48.805,49.836,40.914,41.622,8304570.51,385143024,516634
1.62069E+12,5/11/2021 0:00,LINK/USDT,46.326,49,44.576,48.826,7532480.798,350323815,462584
1.6206E+12,5/10/2021 0:00,LINK/USDT,52.277,53,40.7,46.334,11459163.62,558406008.4,693325
1.62052E+12,5/9/2021 0:00,LINK/USDT,48.607,52.426,45.83,52.269,8601375.485,426793073.5,593158
1.62043E+12,5/8/2021 0:00,LINK/USDT,49.134,50.265,46.5,48.597,5902382.664,284891150.3,367579
1.62035E+12,5/7/2021 0:00,LINK/USDT,47.148,51.969,45.666,49.129,10599319.11,516351633.2,699562
1.62026E+12,5/6/2021 0:00,LINK/USDT,49.576,49.9,45.343,47.154,9895004.189,470680577.3,619201
1.62017E+12,5/5/2021 0:00,LINK/USDT,45.508,51.2,44.865,49.575,16873790.9,821248409.8,906900
1.62009E+12,5/4/2021 0:00,LINK/USDT,42.06,48.54,38.634,45.527,19637684.71,863252537.7,1060625
1.62E+12,5/3/2021 0:00,LINK/USDT,39.461,42.728,39.166,42.052,6029697.571,247350302,374918
1.61991E+12,5/2/2021 0:00,LINK/USDT,41.249,41.46,38.69,39.461,5208051.325,207340045.3,500404
1.61983E+12,5/1/2021 0:00,LINK/USDT,38.101,41.27,37.428,41.257,5227786.221,205646715.5,388094
1.61974E+12,4/30/2021 0:00,LINK/USDT,36.465,38.79,35.827,38.1,5295313.708,199687110.5,327834
1.61965E+12,4/29/2021 0:00,LINK/USDT,36.253,37.45,35,36.467,5148499.846,185805140.9,306737
1.61957E+12,4/28/2021 0:00,LINK/USDT,36.786,37.808,34.901,36.233,5219076.553,188502398.7,329196
1.61948E+12,4/27/2021 0:00,LINK/USDT,35.112,37.665,34.483,36.788,5463142.477,197766128.6,385721
1.6194E+12,4/26/2021 0:00,LINK/USDT,31.69,35.275,31.363,35.13,6660309.239,227581850.9,483488
1.61931E+12,4/25/2021 0:00,LINK/USDT,31.237,33.432,29.801,31.692,4590476.743,145623472,311561
1.61922E+12,4/24/2021 0:00,LINK/USDT,35.2121,35.3033,31,31.2443,6655452.01,217943013.1,352265
1.61914E+12,4/23/2021 0:00,LINK/USDT,35.1256,35.9643,30.02,35.2121,15422132.24,506298101.5,726112
1.61905E+12,4/22/2021 0:00,LINK/USDT,36.2364,40.82,33.7859,35.1306,14019133.9,525902201.6,792723
1.61896E+12,4/21/2021 0:00,LINK/USDT,38.9983,39.4872,35.8933,36.2274,7984885.79,300536189.3,456361
1.61888E+12,4/20/2021 0:00,LINK/USDT,35.7504,39.3901,33.1933,38.9954,12155649.58,444597297.5,646110
1.61879E+12,4/19/2021 0:00,LINK/USDT,39.0858,41.99,34.8144,35.7359,13081158.33,501387565.9,689586
1.6187E+12,4/18/2021 0:00,LINK/USDT,39.9135,40.3436,28.8,39.0799,16201648.58,582629851.5,837995
1.61862E+12,4/17/2021 0:00,LINK/USDT,41.9797,44.1116,39.8304,39.9137,6767640.23,285166359.5,463807
1.61853E+12,4/16/2021 0:00,LINK/USDT,42.5654,43.2902,38.5273,41.9861,9660045.35,396960532.2,562236
1.61844E+12,4/15/2021 0:00,LINK/USDT,41.3371,44.33,39.6638,42.5601,12590877.74,528586963.2,682685
1.61836E+12,4/14/2021 0:00,LINK/USDT,35.5416,41.9901,35,41.3641,14042147.72,529881704.4,743697
1.61827E+12,4/13/2021 0:00,LINK/USDT,33.1023,35.8645,32.3842,35.5217,6101006.72,209119134.4,317506
1.61819E+12,4/12/2021 0:00,LINK/USDT,33.8811,34.1468,31.8601,33.108,4114028.73,135740510.1,213799
1.6181E+12,4/11/2021 0:00,LINK/USDT,31.898,34.4397,31.7283,33.8811,4950189.88,164132318.9,260724
1.61801E+12,4/10/2021 0:00,LINK/USDT,31.5961,33,31,31.8944,3548018.58,114002353.8,194774
1.61793E+12,4/9/2021 0:00,LINK/USDT,32.787,33.2876,31.2348,31.5893,3146093.79,101198020.9,158699
1.61784E+12,4/8/2021 0:00,LINK/USDT,31.1008,32.8999,30.9466,32.7884,3548631.28,113821093.9,172891
1.61775E+12,4/7/2021 0:00,LINK/USDT,34.7295,35.12,30.2286,31.109,7354475.72,238994490.3,364739
1.61767E+12,4/6/2021 0:00,LINK/USDT,32.3791,34.9,31.3074,34.725,8893492.94,294619829.3,437637
1.61758E+12,4/5/2021 0:00,LINK/USDT,30.7473,32.6399,29.6179,32.3791,5116263.33,159550598.5,265933
1.61749E+12,4/4/2021 0:00,LINK/USDT,29.293,31.4643,28.6801,30.7471,3036730.2,92244085.27,180490
1.61741E+12,4/3/2021 0:00,LINK/USDT,32.4867,33.1707,29.1256,29.293,5352533.08,168809622.8,299926
1.61732E+12,4/2/2021 0:00,LINK/USDT,30.0808,32.5555,29.361,32.4864,4541298.12,140319884.1,252576
1.61724E+12,4/1/2021 0:00,LINK/USDT,29.4168,31.125,29.3143,30.0684,5441691.37,163918974.5,262579
1.61715E+12,3/31/2021 0:00,LINK/USDT,27.83,29.4401,26.18,29.4167,4354539.16,120899948.3,198875
1.61706E+12,3/30/2021 0:00,LINK/USDT,28.0356,28.5735,27.446,27.8301,2522498.95,70951865.81,130536
1.61698E+12,3/29/2021 0:00,LINK/USDT,26.6576,28.6203,26.3886,28.0357,3631401.63,100828210,161812
1.61689E+12,3/28/2021 0:00,LINK/USDT,26.8765,27.6624,26.0889,26.6588,2209824.35,59540478.33,114293
1.6168E+12,3/27/2021 0:00,LINK/USDT,27.3988,27.4982,26.003,26.8766,2033830.6,54444866.17,101981
1.61672E+12,3/26/2021 0:00,LINK/USDT,25.53,27.4,25.3591,27.3927,4214750.51,110639639.9,191743
1.61663E+12,3/25/2021 0:00,LINK/USDT,24.8679,26.6401,24.3665,25.535,5165569.26,131267808.4,219974
1.61654E+12,3/24/2021 0:00,LINK/USDT,26.7831,27.8814,23.61,24.8684,5130184.12,134144662.9,237871
1.61646E+12,3/23/2021 0:00,LINK/USDT,27.2551,27.9351,26.6283,26.7813,3697991.34,100854061.5,149578
1.61637E+12,3/22/2021 0:00,LINK/USDT,29.2117,29.4444,27.1362,27.2431,3569707.65,101952820.2,162430
