https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1622073600000,2021-05-27 00:00:00,LTC/USDT,198.92000000,199.05000000,197.87000000,197.95000000,3020.87283000,599220.64685300,852
1622070000000,2021-05-26 23:00:00,LTC/USDT,195.26000000,199.55000000,193.53000000,198.91000000,47965.26543000,9456415.89913950,16962
1622066400000,2021-05-26 22:00:00,LTC/USDT,195.00000000,196.47000000,193.25000000,195.26000000,34929.97749000,6796344.26209010,10749
1622062800000,2021-05-26 21:00:00,LTC/USDT,194.52000000,196.50000000,191.63000000,195.05000000,43184.58803000,8395014.40692240,12594
1622059200000,2021-05-26 20:00:00,LTC/USDT,193.82000000,196.10000000,192.50000000,194.53000000,36610.56793000,7118462.27142000,11229
1622055600000,2021-05-26 19:00:00,LTC/USDT,194.30000000,194.34000000,189.64000000,193.84000000,45451.28640000,8705298.67759400,13618
1622052000000,2021-05-26 18:00:00,LTC/USDT,196.40000000,196.41000000,192.50000000,194.28000000,32574.30650000,6325972.79560970,11639
1622048400000,2021-05-26 17:00:00,LTC/USDT,192.39000000,196.75000000,189.27000000,196.30000000,74433.92421000,14330449.90946110,20852
1622044800000,2021-05-26 16:00:00,LTC/USDT,193.55000000,197.98000000,192.15000000,192.40000000,73468.90425000,14306217.86397170,22806
1622041200000,2021-05-26 15:00:00,LTC/USDT,193.80000000,194.49000000,190.15000000,193.54000000,69383.92542000,13341395.23907890,19851
1622037600000,2021-05-26 14:00:00,LTC/USDT,190.20000000,194.86000000,189.30000000,193.82000000,73698.03510000,14196812.34592810,25453
1622034000000,2021-05-26 13:00:00,LTC/USDT,201.62000000,201.62000000,189.60000000,190.21000000,124623.61175000,24177839.67481440,40020
1622030400000,2021-05-26 12:00:00,LTC/USDT,199.57000000,203.12000000,198.72000000,201.63000000,54968.49834000,11045133.61562130,19746
1622026800000,2021-05-26 11:00:00,LTC/USDT,198.61000000,199.93000000,196.22000000,199.59000000,42194.47284000,8349423.82930480,15820
1622023200000,2021-05-26 10:00:00,LTC/USDT,199.72000000,201.86000000,197.10000000,198.68000000,78835.17139000,15669545.54298400,25076
1622019600000,2021-05-26 09:00:00,LTC/USDT,199.17000000,202.34000000,198.47000000,199.77000000,48903.34654000,9804570.19214280,16541
1622016000000,2021-05-26 08:00:00,LTC/USDT,203.19000000,204.13000000,195.46000000,199.17000000,97364.61829000,19423360.62480520,32892
1622012400000,2021-05-26 07:00:00,LTC/USDT,200.04000000,203.56000000,198.10000000,203.19000000,61263.15308000,12276809.11549130,22597
1622008800000,2021-05-26 06:00:00,LTC/USDT,193.27000000,201.57000000,192.84000000,200.04000000,100157.71264000,19907352.19612150,36105
1622005200000,2021-05-26 05:00:00,LTC/USDT,192.62000000,197.38000000,191.58000000,193.22000000,89338.88849000,17367472.08349620,29184
1622001600000,2021-05-26 04:00:00,LTC/USDT,191.52000000,193.82000000,188.53000000,192.61000000,74416.29113000,14248584.77139310,24716
1621998000000,2021-05-26 03:00:00,LTC/USDT,188.34000000,191.98000000,187.69000000,191.44000000,42074.12212000,7993342.46723060,17054
1621994400000,2021-05-26 02:00:00,LTC/USDT,186.42000000,191.62000000,185.81000000,188.35000000,78486.65615000,14820669.37605520,28050
1621990800000,2021-05-26 01:00:00,LTC/USDT,182.98000000,187.95000000,182.61000000,186.37000000,55496.06609000,10270638.11926180,21762
1621987200000,2021-05-26 00:00:00,LTC/USDT,183.89000000,184.93000000,179.42000000,182.96000000,61152.08362000,11145029.55623620,21431
1621983600000,2021-05-25 23:00:00,LTC/USDT,181.83000000,184.00000000,180.41000000,183.76000000,41481.78427000,7549412.64732460,15322
1621980000000,2021-05-25 22:00:00,LTC/USDT,176.26000000,182.58000000,175.88000000,181.83000000,79912.58413000,14343357.39184260,25457
1621976400000,2021-05-25 21:00:00,LTC/USDT,173.37000000,177.01000000,172.25000000,176.29000000,21791.95800000,3814237.41109300,8833
1621972800000,2021-05-25 20:00:00,LTC/USDT,170.35000000,174.38000000,169.86000000,173.34000000,33777.60813000,5810869.05599720,11075
1621969200000,2021-05-25 19:00:00,LTC/USDT,175.53000000,176.14000000,168.69000000,170.22000000,43492.04146000,7516261.67114150,13885
1621965600000,2021-05-25 18:00:00,LTC/USDT,175.07000000,178.05000000,173.64000000,175.54000000,34343.38682000,6044488.72552750,12413
1621962000000,2021-05-25 17:00:00,LTC/USDT,173.53000000,175.50000000,170.44000000,175.04000000,66801.10661000,11547089.20579550,18562
1621958400000,2021-05-25 16:00:00,LTC/USDT,177.55000000,177.76000000,171.89000000,173.61000000,78487.57941000,13716699.11903350,20176
1621954800000,2021-05-25 15:00:00,LTC/USDT,175.70000000,178.26000000,172.31000000,177.79000000,95868.37957000,16811065.47276610,26821
1621951200000,2021-05-25 14:00:00,LTC/USDT,175.11000000,179.20000000,174.06000000,175.77000000,76244.08228000,13494906.82465920,19979
1621947600000,2021-05-25 13:00:00,LTC/USDT,172.25000000,178.53000000,171.57000000,175.10000000,105006.15152000,18435527.72690210,26468
1621944000000,2021-05-25 12:00:00,LTC/USDT,169.66000000,173.89000000,168.53000000,172.23000000,103284.23148000,17677528.74043030,23889
1621940400000,2021-05-25 11:00:00,LTC/USDT,171.10000000,174.94000000,168.70000000,169.58000000,141809.34540000,24275654.65411250,31578
1621936800000,2021-05-25 10:00:00,LTC/USDT,180.13000000,180.26000000,167.15000000,171.07000000,162891.81356000,28068817.48625620,46780
1621933200000,2021-05-25 09:00:00,LTC/USDT,181.74000000,183.11000000,179.00000000,180.21000000,75677.29337000,13695225.85888500,19041
1621929600000,2021-05-25 08:00:00,LTC/USDT,187.72000000,190.00000000,180.62000000,181.67000000,105234.64243000,19474597.15473520,30345
1621926000000,2021-05-25 07:00:00,LTC/USDT,184.63000000,187.98000000,183.86000000,187.75000000,81545.57235000,15153062.71082100,23418
1621922400000,2021-05-25 06:00:00,LTC/USDT,180.96000000,186.24000000,178.42000000,184.63000000,92231.49662000,16885866.92780020,24917
1621918800000,2021-05-25 05:00:00,LTC/USDT,179.69000000,181.24000000,176.85000000,180.97000000,49816.45400000,8919774.86135930,17579
1621915200000,2021-05-25 04:00:00,LTC/USDT,181.54000000,182.68000000,175.18000000,179.70000000,80972.05783000,14531211.19419260,26091
1621911600000,2021-05-25 03:00:00,LTC/USDT,178.81000000,182.08000000,175.99000000,181.49000000,90009.75291000,16109606.82976830,27755
1621908000000,2021-05-25 02:00:00,LTC/USDT,185.65000000,186.58000000,177.93000000,178.81000000,92936.13803000,16961093.30965610,29579
1621904400000,2021-05-25 01:00:00,LTC/USDT,190.12000000,191.82000000,183.19000000,185.69000000,82856.67280000,15476853.16501870,27363
1621900800000,2021-05-25 00:00:00,LTC/USDT,185.32000000,194.61000000,182.27000000,190.21000000,137912.30165000,26148610.23226080,47640
1621897200000,2021-05-24 23:00:00,LTC/USDT,177.92000000,185.37000000,177.02000000,185.32000000,80195.85940000,14556872.19031120,27308
1621893600000,2021-05-24 22:00:00,LTC/USDT,177.03000000,181.92000000,175.16000000,177.89000000,89770.99144000,16027861.93571590,25029
1621890000000,2021-05-24 21:00:00,LTC/USDT,177.55000000,182.00000000,176.25000000,177.02000000,91134.32257000,16338142.57311520,28308
1621886400000,2021-05-24 20:00:00,LTC/USDT,182.15000000,183.00000000,176.11000000,177.60000000,120804.96007000,21653768.60939520,34847
1621882800000,2021-05-24 19:00:00,LTC/USDT,170.18000000,183.00000000,169.61000000,182.01000000,170156.04752000,29928253.61132190,43276
1621879200000,2021-05-24 18:00:00,LTC/USDT,168.55000000,172.60000000,167.72000000,170.23000000,104535.60023000,17747201.51880030,27402
1621875600000,2021-05-24 17:00:00,LTC/USDT,166.11000000,169.60000000,164.77000000,168.53000000,55323.64594000,9244927.50209750,18928
1621872000000,2021-05-24 16:00:00,LTC/USDT,166.50000000,169.29000000,161.38000000,166.09000000,96991.80826000,15971908.35391150,28152
1621868400000,2021-05-24 15:00:00,LTC/USDT,164.57000000,170.00000000,162.99000000,166.54000000,89294.92155000,14908652.49030640,26489
1621864800000,2021-05-24 14:00:00,LTC/USDT,162.88000000,165.96000000,161.19000000,164.59000000,73841.68455000,12098090.89499630,20091
1621861200000,2021-05-24 13:00:00,LTC/USDT,165.58000000,166.60000000,161.51000000,162.84000000,103334.02339000,16959698.55944700,25821
1621857600000,2021-05-24 12:00:00,LTC/USDT,164.91000000,169.00000000,163.17000000,165.57000000,145752.22979000,24239919.08778110,34808
1621854000000,2021-05-24 11:00:00,LTC/USDT,158.56000000,167.42000000,158.36000000,164.85000000,135913.47790000,22209141.66179720,34915
1621850400000,2021-05-24 10:00:00,LTC/USDT,156.58000000,160.18000000,155.40000000,158.59000000,92015.65954000,14530799.93630390,24346
1621846800000,2021-05-24 09:00:00,LTC/USDT,160.23000000,160.24000000,156.50000000,156.62000000,83034.64238000,13155544.75204390,22463
1621843200000,2021-05-24 08:00:00,LTC/USDT,161.81000000,163.64000000,158.23000000,160.24000000,119325.12115000,19126215.94199050,29707
1621839600000,2021-05-24 07:00:00,LTC/USDT,154.27000000,163.00000000,154.27000000,161.84000000,142297.23641000,22634503.49090650,35088
1621836000000,2021-05-24 06:00:00,LTC/USDT,150.75000000,154.63000000,148.54000000,154.23000000,81417.78329000,12359727.07227250,19199
1621832400000,2021-05-24 05:00:00,LTC/USDT,148.80000000,152.93000000,148.80000000,150.79000000,60357.48777000,9088222.49258380,14210
1621828800000,2021-05-24 04:00:00,LTC/USDT,151.42000000,152.69000000,145.64000000,148.82000000,90712.10055000,13592202.27851040,21048
