https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1622073600000,2021-05-27 00:00:00,TRX/USDT,0.08312000,0.08313000,0.08266000,0.08276000,5832478.60000000,483938.57448000,1151
1622070000000,2021-05-26 23:00:00,TRX/USDT,0.08236000,0.08315000,0.08168000,0.08312000,56684513.50000000,4678137.52851500,11725
1622066400000,2021-05-26 22:00:00,TRX/USDT,0.08173000,0.08239000,0.08147000,0.08238000,52043441.90000000,4263652.59239200,9771
1622062800000,2021-05-26 21:00:00,TRX/USDT,0.08170000,0.08212000,0.08090000,0.08173000,62260624.80000000,5080038.89029100,12257
1622059200000,2021-05-26 20:00:00,TRX/USDT,0.08051000,0.08174000,0.08010000,0.08171000,53901451.20000000,4367337.24059900,11294
1622055600000,2021-05-26 19:00:00,TRX/USDT,0.08105000,0.08107000,0.07944000,0.08053000,85126864.90000000,6818018.66848400,14148
1622052000000,2021-05-26 18:00:00,TRX/USDT,0.08125000,0.08126000,0.08029000,0.08104000,70581297.10000000,5703672.20138000,13001
1622048400000,2021-05-26 17:00:00,TRX/USDT,0.08011000,0.08142000,0.07922000,0.08131000,99938687.60000000,7999276.13206600,15707
1622044800000,2021-05-26 16:00:00,TRX/USDT,0.08014000,0.08154000,0.07993000,0.08010000,106906884.10000000,8629336.89981700,17846
1622041200000,2021-05-26 15:00:00,TRX/USDT,0.08019000,0.08035000,0.07891000,0.08018000,122983420.50000000,9806469.93475600,17949
1622037600000,2021-05-26 14:00:00,TRX/USDT,0.07889000,0.08060000,0.07862000,0.08019000,131233731.10000000,10473413.46950500,18994
1622034000000,2021-05-26 13:00:00,TRX/USDT,0.08325000,0.08327000,0.07879000,0.07890000,216979200.30000000,17452202.07643000,28907
1622030400000,2021-05-26 12:00:00,TRX/USDT,0.08238000,0.08416000,0.08224000,0.08323000,114457061.00000000,9503257.65624200,20056
