https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1622073600000,2021-05-27 00:00:00,XRP/USDT,1.03160000,1.03200000,1.02710000,1.02890000,1497774.14000000,1541239.50153700,1801
1622070000000,2021-05-26 23:00:00,XRP/USDT,1.01240000,1.03550000,1.00510000,1.03160000,36551600.97000000,37412977.02166200,43704
1622066400000,2021-05-26 22:00:00,XRP/USDT,1.00990000,1.01770000,1.00420000,1.01240000,31016419.68000000,31323148.05053400,32968
1622062800000,2021-05-26 21:00:00,XRP/USDT,1.01230000,1.01870000,1.00170000,1.01000000,34408435.48000000,34741829.74384500,43850
1622059200000,2021-05-26 20:00:00,XRP/USDT,0.99150000,1.01500000,0.98520000,1.01240000,35212875.34000000,35180640.87226300,53233
1622055600000,2021-05-26 19:00:00,XRP/USDT,0.98840000,0.99330000,0.97190000,0.99150000,37789258.78000000,37096252.89494300,44468
1622052000000,2021-05-26 18:00:00,XRP/USDT,0.99970000,1.00000000,0.98020000,0.98850000,34879512.60000000,34456804.44398400,39098
1622048400000,2021-05-26 17:00:00,XRP/USDT,0.98460000,1.00190000,0.96920000,0.99980000,47865270.84000000,47054293.02706700,48691
1622044800000,2021-05-26 16:00:00,XRP/USDT,0.99080000,1.00300000,0.98250000,0.98460000,48868925.30000000,48532976.51319800,52214
1622041200000,2021-05-26 15:00:00,XRP/USDT,1.00100000,1.00190000,0.97440000,0.99080000,50888916.57000000,50210478.56246200,55186
1622037600000,2021-05-26 14:00:00,XRP/USDT,0.97780000,1.00380000,0.97500000,1.00100000,54421398.43000000,53991570.06689600,62127
1622034000000,2021-05-26 13:00:00,XRP/USDT,1.03260000,1.03260000,0.97020000,0.97780000,80426927.11000000,80418579.37348800,97249
1622030400000,2021-05-26 12:00:00,XRP/USDT,1.02790000,1.04050000,1.02380000,1.03260000,40753862.61000000,42105091.14490000,47037
1622026800000,2021-05-26 11:00:00,XRP/USDT,1.02250000,1.02880000,1.00800000,1.02780000,35014106.69000000,35734685.73254400,51694
1622023200000,2021-05-26 10:00:00,XRP/USDT,1.03980000,1.04850000,1.00560000,1.02280000,60870648.05000000,62329766.33715900,73293
1622019600000,2021-05-26 09:00:00,XRP/USDT,1.03490000,1.04540000,1.02950000,1.03990000,33932170.70000000,35255272.98633700,43769
1622016000000,2021-05-26 08:00:00,XRP/USDT,1.05030000,1.06200000,1.01580000,1.03500000,74986731.87000000,77512223.10892400,86953
1622012400000,2021-05-26 07:00:00,XRP/USDT,1.05050000,1.05900000,1.04200000,1.05030000,45443335.83000000,47709832.18319100,54963
1622008800000,2021-05-26 06:00:00,XRP/USDT,1.02340000,1.06980000,1.02070000,1.05050000,67298232.00000000,70546589.56295000,83236
1622005200000,2021-05-26 05:00:00,XRP/USDT,1.01090000,1.04990000,1.00740000,1.02320000,63813427.68000000,65798251.09481300,80108
1622001600000,2021-05-26 04:00:00,XRP/USDT,1.00960000,1.01500000,0.99360000,1.01100000,36509651.26000000,36650355.18394300,43142
1621998000000,2021-05-26 03:00:00,XRP/USDT,0.99520000,1.01500000,0.99520000,1.00950000,56993531.56000000,57151087.84670600,56477
1621994400000,2021-05-26 02:00:00,XRP/USDT,0.98690000,1.01260000,0.98290000,0.99530000,63398868.71000000,63257649.78824600,70903
1621990800000,2021-05-26 01:00:00,XRP/USDT,0.96810000,0.99270000,0.96630000,0.98690000,35616183.10000000,34944863.14552200,47510
1621987200000,2021-05-26 00:00:00,XRP/USDT,0.97470000,0.98760000,0.94610000,0.96810000,53327828.47000000,51402802.15271200,61333
1621983600000,2021-05-25 23:00:00,XRP/USDT,0.97240000,0.98000000,0.96100000,0.97460000,28966666.61000000,28079515.79079800,35924
1621980000000,2021-05-25 22:00:00,XRP/USDT,0.94700000,0.98000000,0.94480000,0.97220000,53911414.50000000,52004438.01641800,62917
1621976400000,2021-05-25 21:00:00,XRP/USDT,0.93460000,0.95040000,0.92700000,0.94710000,25959642.66000000,24419974.48969300,28553
1621972800000,2021-05-25 20:00:00,XRP/USDT,0.91580000,0.94080000,0.91390000,0.93460000,35376955.77000000,32864477.83678100,39552
1621969200000,2021-05-25 19:00:00,XRP/USDT,0.93730000,0.94450000,0.90810000,0.91580000,43497240.65000000,40419737.35248700,47579
1621965600000,2021-05-25 18:00:00,XRP/USDT,0.94200000,0.95640000,0.93430000,0.93720000,35837528.11000000,33878707.42514000,38805
1621962000000,2021-05-25 17:00:00,XRP/USDT,0.93600000,0.94850000,0.92380000,0.94160000,37657284.81000000,35271995.14809000,41723
1621958400000,2021-05-25 16:00:00,XRP/USDT,0.95090000,0.95180000,0.92630000,0.93590000,47349981.22000000,44368850.39929200,50175
